id,nombre,presentacion,unidad,categoria
c1754,LEUCOVORINA 50 MG (MED.ONCOLOGICA),NOVIZET 50 mg iny.liof.f.a.x 1,un,L
c1486,LEVETIRACETAM 1 GR COMP,,comp,L
c1998,LEVETIRACETAM 500 MG COMP.,,comp,L
c10507,LEVETIRACETAN 100 MG FA,CALLEXE 500 mg iny.a.x 5,un,L
c896,LEVOFLOXACINA COMP (750 MG),LEVOFLOXACINA RICHET 750 mg comp. rec. x 5,comp,L
c947,LEVOFLOXACINA FCO (500 MG X 100 ML SACHET),LEVOFLOXACINA NORGREEN 500 mg sachet x 100 ml,un,L
c1879,LEVOMEPROMAZINA (25 MG),,un,L
c978,"LEVOSIMENDAN (2,5 MG/ML INY FA X 5 ML)",LEVOSIMENDAN RICHET LIOFILIZAD 2.5 mg/ml iny.f.a.x,un,L
c1429,LIDOCAINA 10% SPRAY,LIDOCAINA SPRAY 10% spr.x50g c/valv.apli,un,L
c341,LIDOCAINA 2% C/EPI FCO AMP (20 ML),GOBBICAINA 2% c/epi.a.x 25 x 20ml,amp,L
c948,LIDOCAINA AL 2 % S/EPI AMP (5 ml)COMUN,GOBBICAINA 2% s/epi.f.a.x 25 x 20ml,amp,L
c791,LIDOCAINA JALEA (POMO X 25 ML),LAFECAINA jalea pomo x 25 ml,un,L
c1121,LOPERAMIDA (COMP X 10),SUPRASEC comp.x 10,un,L
c843,LORAZEPAM EV (4 MG AMP),LORAZEPAN CHOBET 4 mg a.x 1,amp,L
c949,LUMINALETAS,,un,L
c1155,MAXIDAUNO (MED.ONCOLOGICA),,un,M
c10232,MEDOCOR 20 MG COMP,MEDOCOR comp.x 20,comp,M
c1164,MEDOCOR SL (ISOSORBIDE MONONITRATO),MEDOCOR SUBLINGUAL 5 mg comp.subl.x 30,un,M
c1201,MEPREDNISONA (CORTIPYREN - 8 MG COMP),CORTIPYREN B 8 mg comp.x 20,comp,M
c10402,MERCAPTOPURINA 50 MG COMP (MED.ONCOLOGICA),PURINETHOL 50 mg comp.x 25,comp,M
c979,MEROPENEM (1 G FA),FADA MEROPENEM 1 g f.a.x 25,un,M
c1478,MEROPENEM 500 MG FA,,un,M
c10488,MESNA 200 MG AMP(MED.ONCOLOGICA),FADA MESNA 200 mg a.x 10,amp,M
c1191,METILPREDNISOLONA (SOLUMEDROL) 500 MG INY FA,FADA METILPREDNISOLONA 500 mg iny.f.a.x 5,un,M
c262,METOCLOPRAMIDA (10 MG AMP X 2 ML /RELIVERAN INY),METOCLOPRAMIDA BIOL 10 mg a.x 100 x 2 ml,amp,M
c115,METOTREXATO 500 MG FA (MED.ONCOLOGICA),METOTREXATO MARTIAN 500 mg f.a.x 1,un,M
c1395,METOTREXATO 50MG (MED.ONCOLOGICA),,un,M
c10173,METRONIDAZOL 500 MG (SACHET),METRONIDAZOL NORGREEN 500 mg sach.x 1 x 100 ml,un,M
c950,METRONIDAZOL 500 MG COMP,COLPOFILIN 500 mg comp.x 10,comp,M
c793,MIDAZOLAM (15 MG / 3 ML INY AMP) ++,MIDAZOLAN GEMEPE 15 mg/3 ml iny.a.x 100,amp,M
c1924,MILRINONA,,un,M
c952,MORFINA (10 MG A X 1 ML),MORFINA GEMEPE 10 mg a.x 100 x 1 ml,un,M
c953,NALBUFINA (10 MG AMP X 1 ML) - (NUBAINA),ONFOR 10 mg a.x 100 x 1 ml,amp,N
c10771,"NALOXONA AMP (0,4 MG X 1 ML)",NALOXONA DENVER FARMA 0.4 mg/ml a.x 25 x 1 ml,amp,N
c781,NAPROXENO COMP (500 MG),NAPROXENO VANNIER 500 mg comp.x 20,comp,N
c954,"NEOSTIGMINA (0,5 MG AMP X 1 ML)",NEOSTIGMINA NORGREEN 0.5 mg a.x 1 x 1 ml,amp,N
c897,NIFEDIPINA COMP (30 MG) - ADALAT,NIFED SOL 30 mg comp.x 30,comp,N
cA1181,NIMODIPINA COMP (30 MG),EXPLANER 30 mg comp.x 60,comp,N
c961,NISTATINA (SUSP ORAL X 60 ML),NISTAT susp.oral x 60 ml,frasco,N
c956,NITROGLICERINA (25 MG),DAUXONA a.x 100 x 5 ml,un,N
c10624,NITROPRUSIATO DE SODIO 50 MG AMP,NITROPRUSIATO DE SODIO GEMEPE  50 mg liof.f.a.x 25,amp,N
c957,NORADRENALINA (4 MG AMP X 4 ML),NOREPINEFRINA NORTHIA 4 mg a.x 25 x 4 ml,amp,N
c984,OCITOCINA 10 UI (X 1 ML),OCITOCINA BIOL 10 UI a.x 100 x 1 ml,un,O
c738,OCITOCINA 5 UI (X 1 ML),SYNTOCINON 5 UI a.x 5 x 1 ml,un,O
c10735,OCTREOTIDA,,un,O
c898,OMEPRAZOL 40 MG FA,OMEPRAZOL RICHET 40 mg IV f.a.x 1,un,O
c1687,ONCASPAR (PEG ASPARAGINASA 3750 UI) FA (MED.ONCOLOGICA),ONCASPAR pvo.p/sol.iny.vial x 1,un,O
c1985,ONDASETRON 4MG AMP,,amp,O
c1139,OXAPROST 75 MG,OXAPROST 75 comp.x 16,un,O
c1986,PARACETAMOL 1 GR VO,,un,P
c1195,PARACETAMOL 10MG/ML EV AMP 50ML,PARACETAMOL B.BRAUN Ecof.x 500mg/50ml x 10,amp,P
c960,PARACETAMOL 500MG VO,PARACETAMOL BAYER 500 mg comp.x 30,un,P
c1218,PARACETAMOL EV (500 MG) AMP,PARACETAMOL B.BRAUN Ecof.x 500mg/50ml x 10,amp,P
c1148,PENICILINA G SODICA,PENICILINA G SODICA DRAWER 3000000 UI f.a.x 100,un,P
c1058,PENTOTHAL SOD 1 GR,,un,P
c795,"PIPERACILINA TAZOBACTAN (4,5 G FA)",PIPERAC COMPUESTO 4/0.5 g iny.f.a.x 42,un,P
c1226,PLAC OUT (COLUTORIO X 200 ML),PLAC OUT colut.x 200 ml,un,P
c1665,PLATSUL CREMA (400 GR),,pomo,P
c1689,PREDNISONA 50 MG COMP,METILPRES 50 50mg comp.rec.trirr.x 20,comp,P
c1171,PROGESTERONA COMP,PROGEST 200 caps.blandas x 30,comp,P
c900,PROPOFOL AMP (200 MG X 20 ML),OLEO LAX 200 mg a.x 25 x 20 ml,amp,P
c357,PROSTAGLANDINA 0.5 MG (ALPROSTADIL),ALPROSTADIL RICHET 0.5 mg/ml a.x 1,un,P
c1960,PROTAMINA,,un,P
