id,nombre,unidad,categoria,tipo,stock_actual
c113,JERINGAS 20 CC,un,J,descartables,1165
c1115,LLAVE DE 3 VIAS,un,L,descartables,65
c427,LUGOL,un,L,descartables,4
c413,MALLA TUBULAR 15 CM,un,M,descartables,13
c747,MALLA TUBULAR 25 CC,un,M,descartables,10
c1763,MALLA TUBULAR 6 CM,un,M,descartables,15
c647,MALLA TUBULAR 7 CM,un,M,descartables,0
c1764,MALLA TUBULAR 8 CM,un,M,descartables,8
c496,MANGO DE ELCTROBISTURI,un,M,descartables,51
c497,MANOPLA DESCARTABLES X UNIDAD ( NAYLON),un,M,descartables,2098
c498,MAQUINA DE RASURAR,un,M,descartables,459
g29,MASCARA CHANCHITA TAMAÑO S,un,M,descartables,9
g30,MASCARA CHANCHITA TAMAÑO M,un,M,descartables,5
g31,MASCARA CHANCHITA TAMAÑO L,un,M,descartables,11
g32,MEMBRANA PARA NEBULIZADOR,un,M,descartables,0
c10272,NITROFURASONA X 1 LITRO**-,un,N,descartables,2
c10499,OVATA 10 CM,un,O,descartables,155
c10535,OVATA 15 CM,un,O,descartables,79
c1157,OXIDO DE ETILENO (AMPOLLAS X 1),un,O,descartables,104
c499,OXIDO DE ETILENO (TUBOS DE 100 GR),un,O,descartables,136
g33,PAPEL DE ELECTRO 80MM X 20 MTS (NUEVO),un,P,descartables,30
c506,PAPEL DE ELECTRO 50 X 30,un,P,descartables,218
g34,PARCHE DE ARGINATO,un,P,descartables,21
c10340,PARCHE Duo DEN 15X20,un,P,descartables,9
c409,PARCHE HIDROCOLOIDE 10X10,un,P,descartables,16
c10320,PARCHE HIDROCOLOIDE 15X15,un,P,descartables,2
c402,PARCHE HIDROCOLOIDE 20X20,un,P,descartables,92
c10364,PASTA KARAYA,un,P,descartables,7
c507,PINZA UMBILICAL,un,P,descartables,229
c508,PORTA OBJETO CAJA X 50,un,P,descartables,1000
c1116,PROLONGADORES PT 26,un,P,descartables,0
c1721,PROTECTOR OCULAR BILLIBAND,un,P,descartables,0
c1775,SACHET DE FLUIDOS BIOLOGICOS,un,S,descartables,39
c1437,RESERVORIO TIPO JACKSON PRATT 127-100,un,R,descartables,12
c509,SET ARROW 1 LUMEN ADULTOS (S/J-50014),un,S,descartables,13
c457,SET ARROW 1 LUMEN PEDIATRICO (4150 4FR),un,S,descartables,15
c1081,SET ARROW 2 LUMEN NEO (CS-14502),un,S,descartables,2
c510,SET ARROW 2LUMEN AD,un,S,descartables,10
g35,SET CERRADO DE ASPIRACION Nº 5 french,un,S,descartables,20
g36,SET CERRADO DE ASPIRACION Nº 6 french,un,S,descartables,5
g37,SET CERRADO DE ASPIRACION Nº 8 french,un,S,descartables,15
c1804,SET CERRADO DE ASPIRACION Nº10,un,S,descartables,16
c746,SET CERRADO DE ASPIRACION Nº14,un,S,descartables,58
c1221,SET CERRADO DE ASPIRACION Nº16,un,S,descartables,37
c1223,SET CERRADO DE ASPIRACION Nº18 (TRAQUEO),un,S,descartables,1
g38,SET CERRADO DE RECILECCION DE ORINA 4 FR,un,S,descartables,18
g39,SET CERRADO DE RECILECCION DE ORINA 6 FR,un,S,descartables,8
g40,SET CERRADO DE RECILECCION DE ORINA 8 FR,un,S,descartables,14
g41,SET DE DRENAJE VENTRICULAR EXTERNO (130-09),un,S,descartables,2
g42,SET PARTO SIN DOLOR,un,S,descartables,9
c1826,SOLUCION LT8,un,S,descartables,18
c1608,SONDA DE NUTRICION F108,un,S,descartables,82
c1761,SONDA FOLEY HEMATURICA 3 VIAS N° 20,un,S,descartables,15
c10169,SONDA FOLEY HEMATURICA 3 VIAS N° 22,un,S,descartables,6
c1762,SONDA FOLEY HEMATURICA 3 VIAS N° 24,un,S,descartables,46
c10162,SONDA FOLEY Nº 10,un,S,descartables,12
c512,SONDA FOLEY Nº 10 450-10 SILMAG ( SILICONA ),un,S,descartables,10
c513,SONDA FOLEY Nº 12,un,S,descartables,9
c1178,SONDA FOLEY Nº 14,un,S,descartables,6
c514,SONDA FOLEY Nº 16,un,S,descartables,111
c515,SONDA FOLEY Nº 18,un,S,descartables,45
c1715,SONDA FOLEY Nº 18 3 VIAS,un,S,descartables,30
c518,SONDA FOLEY Nº 20,un,S,descartables,39
c1456,SONDA FOLEY Nº 20 3 VIAS,un,S,descartables,34
c520,SONDA FOLEY Nº 22,un,S,descartables,37
c519,SONDA FOLEY Nº 22 3 VIAS,un,S,descartables,25
c1765,SONDA FOLEY Nº 22 3 VIAS - SILICONADA -,un,S,descartables,0
c521,SONDA FOLEY Nº 24,un,S,descartables,15
c1706,SONDA FOLEY Nº 24 3 VIAS,un,S,descartables,45
c1748,SONDA FOLEY Nº 8 2 VIAS,un,S,descartables,32
c10298,SONDA K10,un,S,descartables,9
c1244,SONDA K30,un,S,descartables,220
c1243,SONDA K32,un,S,descartables,149
c1207,SONDA K33,un,S,descartables,0
c1341,SONDA K33(SILICONADA) (no),un,S,descartables,0
c524,SONDA K35,un,S,descartables,243
c525,SONDA K66,un,S,descartables,87
c522,SONDA K9,un,S,descartables,223
g43,SONDA MALECOT N20,un,S,descartables,1
g44,SONDA MALECOT N22,un,S,descartables,1
c538,SONDA NASOGASTRICA 04 FR (392-04),un,S,descartables,46
c1152,SONDA NASOGASTRICA 06 FR (392-06),un,S,descartables,20
c539,SONDA NASOGASTRICA 07 FR (392-07),un,S,descartables,18
c540,SONDA NASOGASTRICA 09 FR (392-09),un,S,descartables,81
c1805,SONDA NASOGASTRICA 10 FR (391-10),un,S,descartables,10
c536,SONDA NASOGASTRICA 12 FR (391-12),un,S,descartables,27
c537,SONDA NASOGASTRICA 14 FR (391-14),un,S,descartables,15
c1806,SONDA NASOGASTRICA 16 FR (391-16),un,S,descartables,10
c1807,SONDA NASOGASTRICA 18 FR (391-18),un,S,descartables,10
